BKG_NO,SHIPPER_CODE,POR,POL,CONSIGNEE_CODE,POD,DEL,HS_CODE,CM_DESCRIPTION_ORIGINAL,CM_DESCRIPTION_PROCESSED,CM_DESCRIPTION_VERIFIED,CM_DESCRIPTION_OPTIONAL_USER_INPUT
BKKAA6347500,TH104233,"Laemchabang, Thailand","Laemchabang, Thailand",VN102139,"HAIPHONG, VIETNAM","HAIPHONG, VIETNAM",760120,"290 BUNDLES
INGOT YD31S SECONDARY ALUMINUM ALLOY
HS CODE 7601.2000","INGOT YD31S SECONDARY ALUMINUM
ALLOY",ALUMINUM ALLOY,ALUMINUM ALLOY
BKKAE3911300,TH106774,"BANGKOK,THAILAND","LAEM CHABANG,THAILAND",US112849,"OAKLAND, CA, U.S.A.","OAKLAND, CA, U.S.A.",100630,"AGRICULTURAL PRODUCTS
THAI HOMMALI RICE OLD CROP
Invoice no. 290000032
Registration number: 13123959150
PO# 2003170083
FREIGHT COLLECT
ETD: AUGUST 02, 2020

REF:AS001/2020
HS CODE:100630","AGRICULTURAL PRODUCTS
THAI HOMMALI RICE OLD CROP
INVOICE NO. 290000032
REGISTRATION NUMBER: 13123959150
PO# 2003170083
ETD: AUGUST 02, 2020
REF:AS001/2020",THAI HOMMALI RICE OLD CROP,THAI HOMMALI RICE OLD CROP
BKKAE0728600,TH106005,"LAT KRABANG, THAILAND","LAEM CHABANG, THAILAND",US105934,"VANCOUVER , BC, CANADA","CHICAGO, IL, U.S.A.",401691,"2 x 40'HC
"" SHIPPER 'S LOAD & COUNT ""
==============

TOTAL :5,784 PIECES
PACKED IN 54 PALLETS
RUBBER FLOOR MAT
H.S. 9 PART 3 4016.91.10-000/KGM
""FREIGHT COLLECT""

RUBBER CO., LTD.","TOTAL
PACKED IN
RUBBER FLOOR MAT
H.S. 9 PART 3 4016.91.10-000/KGM
RUBBER CO., LTD.",RUBBER FLOOR MAT,RUBBER FLOOR MAT
LCBA12644400,TH108212,"LAEMCHABANG, THAILAND","LAEMCHABANG, THAILAND",ID107356,"JAKARTA, INDONESIA","JAKARTA, INDONESIA",481141,"H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP
ITEM NO. : AW0331AF
FASCOAT 2 FSC/S1010/ BG40WH IMP

PO NO.: ST239260
INVOICE NO.: IT242461 DATE : 16 JUL 2020

TOTAL 18 ROLLS

H.S.CODE 3919.90.90
SELF ADHESIVE FILM

ITEM NO. : BW0062N
PPNG TOP TRANS/ S692N/ BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
ITEM NO. : BW0264
SYNTHETIC PAPER 65/S4700N /BG40WH IMP
ITEM NO. : BW9320A
BRIGHT SILVER PE 85TC/ AF101/BG40#WH IMP
ITEM NO. : MZ0102
2M WH PET TC/ S333/BG50WH

H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP
ITEM NO. : AW0402F.1060
RADIANT ORANGE FSC/M3000 B100
ITEM NO. : AW0404F.1060
RADIANT YELLOW FSC/M3000/ B100

PO NO.: ST239263
INVOICE NO.: IT242612 DATE : 29 JUL 2020

TOTAL 23 ROLLS

H.S.CODE 3919.90.90
SELF ADHESIVE FILM

ITEM NO. : SY7025N
OVERLAMINATING MATTE/ S6800/BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP

H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : NW0048F
DIRECI THERMAL 150RL FSC/ S1010/BG40WH IMP
ITEM NO. : AW0289F
VELLUM ELITE/S1010/ BG40WH IMP
ITEM NO. : AW0332AF
FASCOAT 2 FSC/S2090/BG40WH IMP
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP

PO NO.: ST239873
INVOICE NO.: IT242686 DATE : 29 JUL 2020

TOTAL 19 ROLLS

TERM OF PAYMENT","00
SELF ADHESIVE PAPER
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
ITEM NO. : AW0331AF
FASCOAT 2 FSC/S1010/ BG40WH IMP
PO NO.: ST239260
INVOICE NO.: IT242461 DATE : 16
JUL 2020
TOTAL
SELF ADHESIVE FILM
ITEM NO. : BW0062N
PPNG TOP TRANS/ S692N/ BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
ITEM NO. : BW0264
SYNTHETIC PAPER 65/S4700N /BG40WH
IMP
ITEM NO. : BW9320A
BRIGHT SILVER PE 85TC/
AF101/BG40#WH IMP
ITEM NO. : MZ0102
WH PET TC/ S333/BG50WH
00
SELF ADHESIVE PAPER
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
ITEM NO. : AW0402F.1060
RADIANT ORANGE FSC/M3000 B100
ITEM NO. : AW0404F.1060
RADIANT YELLOW FSC/M3000/ B100
PO NO.: ST239263
INVOICE NO.: IT242612 DATE : 29
JUL 2020
TOTAL
SELF ADHESIVE FILM
ITEM NO. : SY7025N
OVERLAMINATING MATTE/
S6800/BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
00
SELF ADHESIVE PAPER
ITEM NO. : NW0048F
DIRECI THERMAL 150RL FSC/
S1010/BG40WH IMP
ITEM NO. : AW0289F
VELLUM ELITE/S1010/ BG40WH IMP
ITEM NO. : AW0332AF
FASCOAT 2 FSC/S2090/BG40WH IMP
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
PO NO.: ST239873
INVOICE NO.: IT242686 DATE : 29
JUL 2020
TOTAL
TERM OF PAYMENT",SELF ADHESIVE PAPER,SELF ADHESIVE PAPER
LCBA12644400,TH108212,"LAEMCHABANG, THAILAND","LAEMCHABANG, THAILAND",ID107356,"JAKARTA, INDONESIA","JAKARTA, INDONESIA",481141,"H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP
ITEM NO. : AW0331AF
FASCOAT 2 FSC/S1010/ BG40WH IMP

PO NO.: ST239260
INVOICE NO.: IT242461 DATE : 16 JUL 2020

TOTAL 18 ROLLS

H.S.CODE 3919.90.90
SELF ADHESIVE FILM

ITEM NO. : BW0062N
PPNG TOP TRANS/ S692N/ BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
ITEM NO. : BW0264
SYNTHETIC PAPER 65/S4700N /BG40WH IMP
ITEM NO. : BW9320A
BRIGHT SILVER PE 85TC/ AF101/BG40#WH IMP
ITEM NO. : MZ0102
2M WH PET TC/ S333/BG50WH

H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP
ITEM NO. : AW0402F.1060
RADIANT ORANGE FSC/M3000 B100
ITEM NO. : AW0404F.1060
RADIANT YELLOW FSC/M3000/ B100

PO NO.: ST239263
INVOICE NO.: IT242612 DATE : 29 JUL 2020

TOTAL 23 ROLLS

H.S.CODE 3919.90.90
SELF ADHESIVE FILM

ITEM NO. : SY7025N
OVERLAMINATING MATTE/ S6800/BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP

H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : NW0048F
DIRECI THERMAL 150RL FSC/ S1010/BG40WH IMP
ITEM NO. : AW0289F
VELLUM ELITE/S1010/ BG40WH IMP
ITEM NO. : AW0332AF
FASCOAT 2 FSC/S2090/BG40WH IMP
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP

PO NO.: ST239873
INVOICE NO.: IT242686 DATE : 29 JUL 2020

TOTAL 19 ROLLS

TERM OF PAYMENT","00
SELF ADHESIVE PAPER
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
ITEM NO. : AW0331AF
FASCOAT 2 FSC/S1010/ BG40WH IMP
PO NO.: ST239260
INVOICE NO.: IT242461 DATE : 16
JUL 2020
TOTAL
SELF ADHESIVE FILM
ITEM NO. : BW0062N
PPNG TOP TRANS/ S692N/ BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
ITEM NO. : BW0264
SYNTHETIC PAPER 65/S4700N /BG40WH
IMP
ITEM NO. : BW9320A
BRIGHT SILVER PE 85TC/
AF101/BG40#WH IMP
ITEM NO. : MZ0102
WH PET TC/ S333/BG50WH
00
SELF ADHESIVE PAPER
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
ITEM NO. : AW0402F.1060
RADIANT ORANGE FSC/M3000 B100
ITEM NO. : AW0404F.1060
RADIANT YELLOW FSC/M3000/ B100
PO NO.: ST239263
INVOICE NO.: IT242612 DATE : 29
JUL 2020
TOTAL
SELF ADHESIVE FILM
ITEM NO. : SY7025N
OVERLAMINATING MATTE/
S6800/BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
00
SELF ADHESIVE PAPER
ITEM NO. : NW0048F
DIRECI THERMAL 150RL FSC/
S1010/BG40WH IMP
ITEM NO. : AW0289F
VELLUM ELITE/S1010/ BG40WH IMP
ITEM NO. : AW0332AF
FASCOAT 2 FSC/S2090/BG40WH IMP
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
PO NO.: ST239873
INVOICE NO.: IT242686 DATE : 29
JUL 2020
TOTAL
TERM OF PAYMENT",SELF ADHESIVE PAPER,SELF ADHESIVE PAPER
LCBA12644400,TH108212,"LAEMCHABANG, THAILAND","LAEMCHABANG, THAILAND",ID107356,"JAKARTA, INDONESIA","JAKARTA, INDONESIA",481141,"H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP
ITEM NO. : AW0331AF
FASCOAT 2 FSC/S1010/ BG40WH IMP

PO NO.: ST239260
INVOICE NO.: IT242461 DATE : 16 JUL 2020

TOTAL 18 ROLLS

H.S.CODE 3919.90.90
SELF ADHESIVE FILM

ITEM NO. : BW0062N
PPNG TOP TRANS/ S692N/ BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
ITEM NO. : BW0264
SYNTHETIC PAPER 65/S4700N /BG40WH IMP
ITEM NO. : BW9320A
BRIGHT SILVER PE 85TC/ AF101/BG40#WH IMP
ITEM NO. : MZ0102
2M WH PET TC/ S333/BG50WH

H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP
ITEM NO. : AW0402F.1060
RADIANT ORANGE FSC/M3000 B100
ITEM NO. : AW0404F.1060
RADIANT YELLOW FSC/M3000/ B100

PO NO.: ST239263
INVOICE NO.: IT242612 DATE : 29 JUL 2020

TOTAL 23 ROLLS

H.S.CODE 3919.90.90
SELF ADHESIVE FILM

ITEM NO. : SY7025N
OVERLAMINATING MATTE/ S6800/BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP

H.S.CODE 4811.41.90.00
SELF ADHESIVE PAPER

ITEM NO. : NW0048F
DIRECI THERMAL 150RL FSC/ S1010/BG40WH IMP
ITEM NO. : AW0289F
VELLUM ELITE/S1010/ BG40WH IMP
ITEM NO. : AW0332AF
FASCOAT 2 FSC/S2090/BG40WH IMP
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH IMP

PO NO.: ST239873
INVOICE NO.: IT242686 DATE : 29 JUL 2020

TOTAL 19 ROLLS

TERM OF PAYMENT","00
SELF ADHESIVE PAPER
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
ITEM NO. : AW0331AF
FASCOAT 2 FSC/S1010/ BG40WH IMP
PO NO.: ST239260
INVOICE NO.: IT242461 DATE : 16
JUL 2020
TOTAL
SELF ADHESIVE FILM
ITEM NO. : BW0062N
PPNG TOP TRANS/ S692N/ BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
ITEM NO. : BW0264
SYNTHETIC PAPER 65/S4700N /BG40WH
IMP
ITEM NO. : BW9320A
BRIGHT SILVER PE 85TC/
AF101/BG40#WH IMP
ITEM NO. : MZ0102
WH PET TC/ S333/BG50WH
00
SELF ADHESIVE PAPER
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
ITEM NO. : AW0402F.1060
RADIANT ORANGE FSC/M3000 B100
ITEM NO. : AW0404F.1060
RADIANT YELLOW FSC/M3000/ B100
PO NO.: ST239263
INVOICE NO.: IT242612 DATE : 29
JUL 2020
TOTAL
SELF ADHESIVE FILM
ITEM NO. : SY7025N
OVERLAMINATING MATTE/
S6800/BG40WH IMP
ITEM NO. : BW0146
PE85 NTC TRANS/ S692N/BG40WH IMP
00
SELF ADHESIVE PAPER
ITEM NO. : NW0048F
DIRECI THERMAL 150RL FSC/
S1010/BG40WH IMP
ITEM NO. : AW0289F
VELLUM ELITE/S1010/ BG40WH IMP
ITEM NO. : AW0332AF
FASCOAT 2 FSC/S2090/BG40WH IMP
ITEM NO. : AW0153F
HIGH GLOSS PAPER FSC/S2090/BG40WH
IMP
PO NO.: ST239873
INVOICE NO.: IT242686 DATE : 29
JUL 2020
TOTAL
TERM OF PAYMENT",SELF ADHESIVE PAPER,SELF ADHESIVE PAPER
LCBA13354300,TH106293,"LAEM CHABANG, THAILAND","LAEM CHABANG, THAILAND",JP108871,"NAGOYA,JAPAN","NAGOYA, AICHI",401110,"RADIAL TYRES
INVOICE NO.EFT200771445
""FREIGHT COLLECT""
HS.CODE : 4011.10","RADIAL TYRES
INVOICE NO.EFT200771445",RADIAL TYRES,RADIAL TYRES
BKKAE4368300,TH103567,BANGKOK,"LAEM CHABANG, THAILAND",RU502175,"ST.PETERSBURG,RUSSIA",ST PETERSBURG,200820,"Page 1 of 2
TOTAL PACKAGES : TOTAL G.W. :
MEAS. :
1000 CARTONS 21,200.00 KGS.

1000 CARTONS OF CANNED

IN LIGHT SYRUP
PACKING 6X108OZ.(3100ML.) NW. 3050G.

""FREIGHT COLLECT""

HS CODE 200820","PAGE 1 OF 2
TOTAL PACKAGES : TOTAL G.W. :
CANNED
IN LIGHT SYRUP
PACKING 6X108OZ.(3100ML.) NW.
3050G.",CANNED PINEAPPLE SLICES,CANNED PINEAPPLE SLICES
BKKAD3167500,TH107638,"LAEM CHABANG, THAILAND","LAEM CHABANG, THAILAND",JP101632,"KOBE, JAPAN","KOBE, JAPAN",950661,"SAID TO CONTAIN

AS PER ATTACHED SHEET",,AS PER ATTACHED SHEET,AS PER ATTACHED SHEET
BKKAE2747900,TH501982,LAEM CHABANG,"LAEM CHABANG, THAILAND",FR103006,"LE HAVRE,FRANCE",LE HAVRE,,"24 PALLETS
30,920 PCS.OF HIGH PRESSURE FUEL
INJECTION PIPE
HS CODE: 87089999-000/KGM.
"" SEA - WAYBILL ""","HIGH PRESSURE FUEL
INJECTION PIPE
-000/KGM.
SEA","HIGH PRESSURE FUEL
INJECTION PIPE",HIGH PRESSURE FUEL INJECTION PUMP
BKKAD0458500,TH106905,"LAEM CHABANG, THAILAND","LAEM CHABANG, THAILAND",ID107621,"TANJUNG PRIOK, JAKARTA, INDONESIA","TANJUNG PRIOK, JAKARTA, INDONESIA",4802,"(4,116.00 REAMS)
UNCOATED WOODFREE ""OFFSET PRO""
MANUFACTURER THAI PAPER CO., LTD.
HS CODE : 4802.57.90
NET WEIGHT :
GROSS WEIGHT :
** SHOW AGENT AT DESTINATION PORT
** SURRENDER **

FREIGHT PREPAID","UNCOATED WOODFREE ""OFFSET PRO""
MANUFACTURER THAI PAPER CO., LTD.
57.90
NET WEIGHT :
GROSS WEIGHT :",UNCOATED WOODFREE,UNCOATED WOODFREE
BKKAD1251400,TH103712,"LAT KRABANG, thailand","LAEM CHABANG, THAILAND",MY105934,KLANG MALAYSIA,KLANG MALAYSIA,230910,"""FREIGHT PREPAID""
PETFOOD
WHISKAS PEDIGREE
DETAILS AS PER INVOICE
PROFORMA/SALE ORDER NO/COMMERCIAL INVOICE No.
8500052538 7613119019 8.2E+09
8500052539 7613103291 8.2E+09
8500052540 7613145214 8.2E+09
8500052541 7613145215 8.2E+09
8500052542 7613103292 8.2E+09
8500052543 7613124450 8.2E+09

HS CODE : 23091010
Request Certify To 3 Copy
Destination charge of THD+D/O to be prepaid by Shipper","PETFOOD
WHISKAS PEDIGREE
DETAILS AS PER INVOICE
PROFORMA/SALE ORDER NO/COMMERCIAL
INVOICE NO.
8500052538 7613119019 8.2E
+09
8500052539 7613103291 8.2E
+09
8500052540 7613145214 8.2E
+09
8500052541 7613145215 8.2E
+09
8500052542 7613103292 8.2E
+09
8500052543 7613124450 8.2E+09
REQUEST CERTIFY TO 3 COPY
DESTINATION CHARGE OF THD+D/O TO
BE PREPAID BY SHIPPER",PETFOOD,PETFOOD
BKKAC5697700,TH100940,BANGKOK,"LAEM CHABANG, THAILAND",HK103334,HONG KONG,HONG KONG,160232,"FROZEN FRESH CHICKEN MEAT
DETAILS AS PER INVOICE NO. M20/06632
FREIGHT PREPAID
STOWED IN REFRIGERATED CONTAINER AT -18 DEGREE CELCIUS
(46.46 CBMS)","FROZEN FRESH CHICKEN MEAT
DETAILS AS PER INVOICE NO.
M20/06632
STOWED IN REFRIGERATED CONTAINER
AT -18 DEGREE CELCIUS",FROZEN FRESH CHICKEN MEAT,FROZEN FRESH CHICKEN MEAT
LCBA15550300,TH106264,"LAEM CHABANG PORT , THAILAND","LAEM CHABANG PORT , THAILAND",PH103145,MANILA NORTH,MANILA NORTH,,"FRESH LONGAN
FRESH LONGAN","FRESH LONGAN
FRESH LONGAN",FRESH LONGAN,FRESH LONGAN
BKKAD4720800,TH502816,BANGKOK,BANGKOK,IT100497,GENOA,GENOVA,,,,Refer to Attached List,Refer to Attached List
BKKAD4332700,TH204066,"Bangkok,Thailand","Laem Chabang,Thailand",VN203646,"HAIPHONG,VIETNAM","HAIPHONG,VIETNAM",252020,"SAID TO CONTAIN : - 5x20'DC
SHIPPER'S LOAD & COUNT & SEAL

COMMODITY NAME:PLASTER #
HS CODE:25202090
INVOICE NO.3291126790
N.W 110,000.00 KGS.","COMMODITY NAME:PLASTER
INVOICE NO.3291126790",PLASTER,PLASTER
BKKAD4332700,TH204066,"Bangkok,Thailand","Laem Chabang,Thailand",VN203646,"HAIPHONG,VIETNAM","HAIPHONG,VIETNAM",252020,"SAID TO CONTAIN : - 5x20'DC
SHIPPER'S LOAD & COUNT & SEAL

COMMODITY NAME:PLASTER #
HS CODE:25202090
INVOICE NO.3291126790
N.W 110,000.00 KGS.","COMMODITY NAME:PLASTER
INVOICE NO.3291126790",PLASTER,PLASTER
BKKAD4332700,TH204066,"Bangkok,Thailand","Laem Chabang,Thailand",VN203646,"HAIPHONG,VIETNAM","HAIPHONG,VIETNAM",252020,"SAID TO CONTAIN : - 5x20'DC
SHIPPER'S LOAD & COUNT & SEAL

COMMODITY NAME:PLASTER #
HS CODE:25202090
INVOICE NO.3291126790
N.W 110,000.00 KGS.","COMMODITY NAME:PLASTER
INVOICE NO.3291126790",PLASTER,PLASTER
BKKAD4332700,TH204066,"Bangkok,Thailand","Laem Chabang,Thailand",VN203646,"HAIPHONG,VIETNAM","HAIPHONG,VIETNAM",252020,"SAID TO CONTAIN : - 5x20'DC
SHIPPER'S LOAD & COUNT & SEAL

COMMODITY NAME:PLASTER #
HS CODE:25202090
INVOICE NO.3291126790
N.W 110,000.00 KGS.","COMMODITY NAME:PLASTER
INVOICE NO.3291126790",PLASTER,PLASTER
BKKAD4332700,TH204066,"Bangkok,Thailand","Laem Chabang,Thailand",VN203646,"HAIPHONG,VIETNAM","HAIPHONG,VIETNAM",252020,"SAID TO CONTAIN : - 5x20'DC
SHIPPER'S LOAD & COUNT & SEAL

COMMODITY NAME:PLASTER #
HS CODE:25202090
INVOICE NO.3291126790
N.W 110,000.00 KGS.","COMMODITY NAME:PLASTER
INVOICE NO.3291126790",PLASTER,PLASTER
BKKAD2241400,TH100384,LAEM CHABANG,LAEM CHABANG,JP108535,"OSAKA, JAPAN","OSAKA, JAPAN",442190,"400 CARTONS 4,000 PIECES
WOOD PRODUCTS
(400 CARTONS)RUBBER F/J LAMINATION BOARD
(HS. CODE : 4421.90.099)
SIZE 35 X 35 X 2,000 - 4,000 MM.
4,000 PCS.
G.W. KGS. M3
5,580 11.772","WOOD PRODUCTS
RUBBER F/J LAMINATION BOARD
SIZE 35 X 35 X 2,000 - 4,000 MM.
G.W. KGS. M3
5,580 11.772",LAMINATION BOARD,LAMINATION BOARD
BKKAD7615700,TH103536,THLCH - Laem Chabang,THLCH - Laem Chabang,AU304228,AUBNE - Brisbane,AUBNE - Brisbane,,"26MM PRINTED
""BUNDABERG"" WITH NON PVC LINER
F/G CODE : MC -291EW TOTAL
(PACKING 9,500 PCS/CARTON)","26MM PRINTED
BUNDABERG"" WITH NON PVC LINER
F/G CODE : MC -291EW TOTAL
(PACKING /CARTON)","""BUNDABERG"" WITH NON PVC LINER","""BUNDABERG"" WITH NON PVC LINER"
BKKAC5156400,TH106829,"LAEM CHABANG, THAILAND","LAEM CHABANG, THAILAND",JP114099,"OSAKA, JAPAN","OSAKA, JAPAN",330749,"TOTAL 4,754 CARTONS
SHOSHUGEN SPRAY (TOILET SPRAY )
SHOSHUGEN SPRAY NON FRAGRANCE 525464
SHOSHUGEN SPRAY LEMON 525987
SHOSHUGEN SPRAY SEKEN 525961
SHOSHUGEN SPRAY RELAXAROMA 526029
SHOSHUGEN SPRAY SUMI 526002
SHOSHUGEN SPRAY PARFUM NOIR 526088
SHOSHUGEN SPRAY BENSHU STRONG 526061
TOILETSONOATONI SPRAY TA FRESH GREEN 525847
TOILETSONOATONI SPRAY TA NON FRAGRANCE 525481
H.S CODE: 3307.49.90
DG CLASS 2.1 UN1950
N.W.: 34,476.01 KGS
**FREIGHT COLLECT **
48.18 M3 / 1X40'HC
51.66 M3 / 1X40'HC
ON BOARD :","TOTAL
SHOSHUGEN SPRAY (TOILET SPRAY )
SHOSHUGEN SPRAY NON FRAGRANCE
525464
SHOSHUGEN SPRAY LEMON 525987
SHOSHUGEN SPRAY SEKEN 525961
SHOSHUGEN SPRAY RELAXAROMA 526029
SHOSHUGEN SPRAY SUMI 526002
SHOSHUGEN SPRAY PARFUM NOIR
526088
SHOSHUGEN SPRAY BENSHU STRONG
526061
TOILETSONOATONI SPRAY TA FRESH
GREEN 525847
TOILETSONOATONI SPRAY TA NON
FRAGRANCE 525481
DG CLASS 2.1 UN1950
ON BOARD :",SHOSHUGEN SPRAY (TOILET SPRAY ),SHOSHUGEN SPRAY (TOILET SPRAY )
BKKAD1161400,TH102080,"LAT KRABANG, THAILAND","LAEM CHABANG, THAILAND",HK211770,HONG KONG,HONG KONG,,"COMPLETA SILVER SWEETENED MILK SPREAD 379G X48

INV NO. 600149358
PO NO. 4502364470

"" FREIGHT PREPAID""
- SAY : ONE (1) CONTAINERS ONLY:-","COMPLETA SILVER SWEETENED MILK
SPREAD 379G X48
INV NO. 600149358
PO NO. 4502364470
SAY : ONE (1) CONTAINERS ONLY:","COMPLETA SILVER SWEETENED MILK
SPREAD",COMPLETA SILVER SWEETENED MILK SPREAD
BKKAE4180900,TH504490,"BANGKOK ,THAILAND","LAEM CHABANG,THAILAND",CH500476,"ROTTERDAM,THE NETHERLANDS","ROTTERDAM,THE NETHERLANDS",100630,""" SHIPPER 'S LOAD & COUNT ""
==============
2 CONTAINERS OR IN BULK
THAI PARBOILED RICE 100% MEDIUM COLOR,
FULLY SORTEXED, UNIFORM COLOR, CURRENT CROP
IN 2 CONTAINERS (24.00 M/TONS NET EACH)

''CONTRACT NO. 3263''
H.S.CODE:1006 3091","2 CONTAINERS OR IN BULK
THAI PARBOILED RICE 100% MEDIUM
COLOR,
FULLY SORTEXED, UNIFORM COLOR,
CURRENT CROP
IN 2 CONTAINERS (/TONS NET EACH)
CONTRACT NO. 3263''",THAI PARBOILED RICE,THAI PARBOILED RICE
BKKAC9487800,TH100134,BANGKOK,"BANGKOK, THAILAND",VN101139,"HAIPHONG,VIETNAM","HAIPHONG,VIETNAM",,"PLASTICS COMPOUNDING
MODIFIED POLYPHENYLENE
ETHER RESIN ""XYRON""
A0210 A1Y3358 = 17,000 KGS
""THE CARGO TO DRAGON LOGISTICS
BONDED WAREHOUSE""","PLASTICS COMPOUNDING
MODIFIED POLYPHENYLENE
ETHER RESIN ""XYRON""
A0210 A1Y3358
THE CARGO TO DRAGON LOGISTICS
BONDED WAREHOUSE""","PLASTICS COMPOUNDING 
MODIFIED POLYPHENYLENE","PLASTICS COMPOUNDING 
MODIFIED POLYPHENYLENE"
BKKAD7501800,TH104456,"LAEM CHABANG, THAILAND","LAEM CHABANG,THAILAND",US123025,"TACOMA,WA,USA","TACOMA,WA,USA",841830,"2 X 40HQ REFRIGERATORS

SEA WAYBILL
SCAC #OERT
HB/L #OERT109701J00366
S/C#NYC0023N20 FAK

**AMS COLLECT AT DESTINATION**

H.S. CODE : 8418.30, 8418.50
OEC SUBMIT AMS

ACTUAL SHIPPER :
ATOSA CATERING EQUIPMENT (THAILAND) CO., LTD.
""FREIGHT COLLECT""
SAY TOTAL: TWO (2) FORTY FOOT HIGH CUBE CONTAINERS ONLY","REFRIGERATORS
SCAC #OERT
HB/L #OERT109701J00366
S/C#NYC0023N20 FAK
OEC SUBMIT AMS
ACTUAL SHIPPER :
ATOSA CATERING EQUIPMENT
(THAILAND) CO., LTD.",REFRIGERATORS,REFRIGERATORS
BKKAD7501800,TH104456,"LAEM CHABANG, THAILAND","LAEM CHABANG,THAILAND",US123025,"TACOMA,WA,USA","TACOMA,WA,USA",841830,"2 X 40HQ REFRIGERATORS

SEA WAYBILL
SCAC #OERT
HB/L #OERT109701J00366
S/C#NYC0023N20 FAK

**AMS COLLECT AT DESTINATION**

H.S. CODE : 8418.30, 8418.50
OEC SUBMIT AMS

ACTUAL SHIPPER :
ATOSA CATERING EQUIPMENT (THAILAND) CO., LTD.
""FREIGHT COLLECT""
SAY TOTAL: TWO (2) FORTY FOOT HIGH CUBE CONTAINERS ONLY","REFRIGERATORS
SCAC #OERT
HB/L #OERT109701J00366
S/C#NYC0023N20 FAK
OEC SUBMIT AMS
ACTUAL SHIPPER :
ATOSA CATERING EQUIPMENT
(THAILAND) CO., LTD.",REFRIGERATORS,REFRIGERATORS
BKKAB0470400,TH503591,"BANGKOK,THAILAND","BANGKOK,THAILAND",VN101276,"HAIPHONG, VIETNAM","HAIPHONG, VIETNAM",320720,""" SHIPPER 'S LOAD & COUNT ""
==============

TOP COAT COMPOSTO FOR
POLISHING FT-2899 BB1000KG
TOP COAT COMPOSTO FOR
POLISHING FT-2899 BB500KG
H.S. CODE: 3207.20.90 000
AS PER SALES AND PURCHASE CONTRACT REF NO:
01/TASA-FERRO/2020
AS PER INVOICE NO. 905301

"" FREIGHT COLLECT ""
"" CY/CY ""","TOP COAT COMPOSTO FOR
POLISHING FT-2899 BB
TOP COAT COMPOSTO FOR
POLISHING FT-2899 BB
000
AS PER SALES AND PURCHASE
CONTRACT REF NO:
TASA-FERRO/2020
AS PER INVOICE NO. 905301","TOP COAT COMPOSTO FOR
POLISHING",TOP COAT COMPOSTO FOR POLISHING
